City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,67.26,56,20,12.66,AU,1680571803
1,vaini,-21.2,-175.2,84.36,70,20,8.05,TO,1680571804
2,rikitea,-23.1203,-134.9692,79.68,83,98,14.65,PF,1680571828
3,chiriqui grande,8.95,-82.1167,77.09,88,99,2.17,PA,1680571838
4,butaritari,3.0707,172.7902,81.84,81,80,18.14,KI,1680571840
5,kedougou,12.5579,-12.1743,86.13,25,5,3.47,SN,1680571840
6,pyapon,16.2833,95.6833,84.34,59,4,10.45,MM,1680571840
7,chokurdakh,70.6333,147.9167,9.73,90,20,7.43,RU,1680571841
8,ushuaia,-54.8,-68.3,44.26,87,75,11.5,AR,1680571841
9,nanortalik,60.1432,-45.2371,30.72,86,96,1.43,GL,1680571841
10,broken hill,-31.95,141.4333,73.67,22,0,5.3,AU,1680571843
11,bambous virieux,-20.3428,57.7575,75.45,94,75,6.91,MU,1680571844
12,limon,10.0,-83.0333,78.06,81,97,1.72,CR,1680571844
13,albany,42.6001,-73.9662,55.81,57,100,4.99,US,1680571804
14,busselton,-33.65,115.3333,68.31,53,38,9.84,AU,1680571845
15,lebedinyy,58.5167,125.5167,18.63,93,100,19.75,RU,1680571845
16,constitucion,-35.3333,-72.4167,57.38,68,3,11.7,CL,1680571845
17,bredasdorp,-34.5322,20.0403,59.09,85,100,2.08,ZA,1680571845
18,petropavlovsk-kamchatskiy,53.0452,158.6483,37.99,45,0,13.42,RU,1680571846
19,tura,25.5198,90.2201,72.18,68,7,5.95,IN,1680571846
20,airai,-8.9266,125.4092,72.57,58,85,2.24,TL,1680571846
21,east london,-33.0153,27.9116,66.45,69,88,18.32,ZA,1680571847
22,bengkulu,-3.8004,102.2655,79.5,80,83,2.37,ID,1680571847
23,jamestown,42.097,-79.2353,49.64,61,100,6.91,US,1680571705
24,kapaa,22.0752,-159.319,79.12,85,100,9.22,US,1680571847
25,bambui,-20.0064,-45.9769,65.48,93,100,0.18,BR,1680571847
26,la ronge,55.1001,-105.2842,21.45,42,20,5.75,CA,1680571847
27,avarua,-21.2078,-159.775,82.45,61,75,10.36,CK,1680571705
28,puerto ayora,-0.7393,-90.3518,81.55,92,19,5.01,EC,1680571848
29,atuona,-9.8,-139.0333,81.14,76,61,13.06,PF,1680571848
30,portland,45.5234,-122.6762,49.84,77,75,9.22,US,1680571685
31,upata,8.0086,-62.3989,74.19,73,16,7.61,VE,1680571849
32,cherskiy,68.75,161.3,6.76,72,99,16.51,RU,1680571849
33,gidole,5.65,37.3667,55.24,87,24,3.11,ET,1680571849
34,mataura,-46.1927,168.8643,58.48,50,49,4.45,NZ,1680571850
35,naze,28.3667,129.4833,67.12,61,86,21.03,JP,1680571850
36,shimoda,34.6667,138.95,60.1,53,0,7.14,JP,1680571850
37,barrow,71.2906,-156.7887,3.22,78,100,13.8,US,1680571850
38,kindu,-2.95,25.95,68.77,99,99,2.01,CD,1680571850
39,hirara,24.8,125.2833,76.86,53,40,19.57,JP,1680571851
